Fiscal Year,Eff. Date,Job Code,Title,Union Code,SetID,Grade,Biweekly Min,Biweekly Max,Extended Range,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20
FY18-19,2018/07/01,1023,IS Administrator III,21,SFMTA,1023P,"3,791","4,607",,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1024,IS Administrator-Supervisor,21,COMMN,1024P,"4,078","4,956",,50.975,53.525,56.2,58.9875,61.95,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1024,IS Administrator-Supervisor,21,SFMTA,1024P,"4,078","4,956",,50.975,53.525,56.2,58.9875,61.95,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1031,IS Trainer-Assistant,21,COMMN,1031P,"2,566","3,119",,32.075,33.6625,35.35,37.1375,38.9875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1031,IS Trainer-Assistant,21,SFMTA,1031P,"2,566","3,119",,32.075,33.6625,35.35,37.1375,38.9875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1032,IS Trainer-Journey,21,COMMN,1032P,"3,119","3,791",,38.9875,40.9375,42.975,45.125,47.3875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1032,IS Trainer-Journey,21,SFMTA,1032P,"3,119","3,791",,38.9875,40.9375,42.975,45.125,47.3875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1033,IS Trainer-Senior,21,COMMN,1033P,"3,791","4,607",,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1033,IS Trainer-Senior,21,SFMTA,1033P,"3,791","4,607",,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1041,IS Engineer-Assistant,21,COMMN,1041P,"3,728","4,688",,46.6,47.7375,48.9,50.6,51.875,53.1625,54.4625,55.8,57.1875,58.6,,,,,,,,,,
FY18-19,2018/07/01,1041,IS Engineer-Assistant,21,SFMTA,1041P,"3,728","4,688",,46.6,47.7375,48.9,50.6,51.875,53.1625,54.4625,55.8,57.1875,58.6,,,,,,,,,,
FY18-19,2018/07/01,1042,IS Engineer-Journey,21,COMMN,1042P,"4,127","5,192",,51.5875,52.9,54.1875,56.075,57.4875,58.875,60.325,61.8,63.375,64.9,,,,,,,,,,
FY18-19,2018/07/01,1042,IS Engineer-Journey,21,SFMTA,1042P,"4,127","5,192",,51.5875,52.9,54.1875,56.075,57.4875,58.875,60.325,61.8,63.375,64.9,,,,,,,,,,
FY18-19,2018/07/01,1043,IS Engineer-Senior,21,COMMN,1043P,"4,575","5,754",,57.1875,58.6,60.05,62.1,63.6,65.1875,66.85,68.4875,70.2,71.925,,,,,,,,,,
FY18-19,2018/07/01,1043,IS Engineer-Senior,21,SFMTA,1043P,"4,575","5,754",,57.1875,58.6,60.05,62.1,63.6,65.1875,66.85,68.4875,70.2,71.925,,,,,,,,,,
FY18-19,2018/07/01,1044,IS Engineer-Principal,21,COMMN,1044P,"4,921","6,667",11,61.5125,63.0625,64.6375,66.85,68.4875,70.2,71.925,73.6875,75.525,77.375,79.2875,81.275,83.3375,,,,,,,
FY18-19,2018/07/01,1044,IS Engineer-Principal,21,SFMTA,1044P,"4,921","6,667",11,61.5125,63.0625,64.6375,66.85,68.4875,70.2,71.925,73.6875,75.525,77.375,79.2875,81.275,83.3375,,,,,,,
FY18-19,2018/07/01,1051,IS Business Analyst-Assistant,21,COMMN,1051P,"2,876","3,617",,35.95,36.8875,37.7625,39.0625,40.0625,41.05,42.075,43.0625,44.175,45.2125,,,,,,,,,,
FY18-19,2018/07/01,1051,IS Business Analyst-Assistant,21,SFMTA,1051P,"2,876","3,617",,35.95,36.8875,37.7625,39.0625,40.0625,41.05,42.075,43.0625,44.175,45.2125,,,,,,,,,,
FY18-19,2018/07/01,1052,IS Business Analyst,21,COMMN,1052P,"3,331","4,189",,41.6375,42.6625,43.675,45.2125,46.35,47.5125,48.6625,49.875,51.1,52.3625,,,,,,,,,,
FY18-19,2018/07/01,1052,IS Business Analyst,21,SFMTA,1052P,"3,331","4,189",,41.6375,42.6625,43.675,45.2125,46.35,47.5125,48.6625,49.875,51.1,52.3625,,,,,,,,,,
FY18-19,2018/07/01,1053,IS Business Analyst-Senior,21,COMMN,1053P,"3,855","4,850",,48.1875,49.425,50.6,52.3625,53.65,54.9875,56.3625,57.75,59.175,60.625,,,,,,,,,,
FY18-19,2018/07/01,1053,IS Business Analyst-Senior,21,SFMTA,1053P,"3,855","4,850",,48.1875,49.425,50.6,52.3625,53.65,54.9875,56.3625,57.75,59.175,60.625,,,,,,,,,,
FY18-19,2018/07/01,1054,IS Business Analyst-Principal,21,COMMN,1054P,"4,464","6,047",11,55.8,57.1875,58.6,60.625,62.1,63.6,65.1875,66.85,68.4875,70.2,71.95,73.75,75.5875,,,,,,,
FY18-19,2018/07/01,1164,"Administrator, SFGH Medical Center",351,COMMN,1164P,"9,889","13,253",6,123.6125,129.7875,136.275,143.0875,150.25,157.775,165.6625,,,,,,,,,,,,,
FY18-19,2018/07/01,1054,IS Business Analyst-Principal,21,SFMTA,1054P,"4,464","6,047",11,55.8,57.1875,58.6,60.625,62.1,63.6,65.1875,66.85,68.4875,70.2,71.95,73.75,75.5875,,,,,,,
FY18-19,2018/07/01,1061,IS Program Analyst-Assistant,21,COMMN,1061P,"2,663","3,344",,33.2875,34.0875,34.9375,36.125,37.05,37.9375,38.8875,39.8375,40.85,41.8,,,,,,,,,,
FY18-19,2018/07/01,1061,IS Program Analyst-Assistant,21,SFMTA,1061P,"2,663","3,344",,33.2875,34.0875,34.9375,36.125,37.05,37.9375,38.8875,39.8375,40.85,41.8,,,,,,,,,,
FY18-19,2018/07/01,1062,IS Programmer Analyst,21,COMMN,1062P,"2,876","3,617",,35.95,36.8875,37.7625,39.0625,40.0625,41.05,42.075,43.0625,44.175,45.2125,,,,,,,,,,
FY18-19,2018/07/01,1062,IS Programmer Analyst,21,SFMTA,1062P,"2,876","3,617",,35.95,36.8875,37.7625,39.0625,40.0625,41.05,42.075,43.0625,44.175,45.2125,,,,,,,,,,
FY18-19,2018/07/01,1063,IS Programmer Analyst-Senior,21,COMMN,1063P,"3,494","4,399",,43.675,44.8,45.95,47.5125,48.6625,49.875,51.1,52.3625,53.65,54.9875,,,,,,,,,,
FY18-19,2018/07/01,1063,IS Programmer Analyst-Senior,21,SFMTA,1063P,"3,494","4,399",,43.675,44.8,45.95,47.5125,48.6625,49.875,51.1,52.3625,53.65,54.9875,,,,,,,,,,
FY18-19,2018/07/01,1064,IS Programmer Analyst-Principal,21,COMMN,1064P,"4,069","5,514",11,50.8625,52.15,53.3875,55.2875,56.6,58.0125,59.5,60.9375,62.45,63.9875,65.5875,67.2375,68.925,,,,,,,
FY18-19,2018/07/01,1064,IS Programmer Analyst-Principal,21,SFMTA,1064P,"4,069","5,514",11,50.8625,52.15,53.3875,55.2875,56.6,58.0125,59.5,60.9375,62.45,63.9875,65.5875,67.2375,68.925,,,,,,,
FY18-19,2018/07/01,1070,IS Project Director,21,COMMN,1070P,"4,921","6,667",11,61.5125,63.0625,64.6375,66.85,68.4875,70.2,71.925,73.6875,75.525,77.375,79.2875,81.275,83.3375,,,,,,,
FY18-19,2018/07/01,1070,IS Project Director,21,SFMTA,1070P,"4,921","6,667",11,61.5125,63.0625,64.6375,66.85,68.4875,70.2,71.925,73.6875,75.525,77.375,79.2875,81.275,83.3375,,,,,,,
FY18-19,2018/07/01,1071,IS Manager,351,COMMN,1071P,"5,165","7,358",,64.5625,67.8,71.2,74.75,78.4875,82.4625,86.5375,90.9125,91.975,,,,,,,,,,,
FY18-19,2018/07/01,1071,IS Manager,351,SFMTA,1071P,"5,165","7,358",,64.5625,67.8,71.2,74.75,78.4875,82.4625,86.5375,90.9125,91.975,,,,,,,,,,,
FY18-19,2018/07/01,1091,IT Operations Support Administrator I,21,COMMN,1091P,"2,184","2,707",,27.3,27.975,28.6625,29.3625,30.0875,30.85,31.6,32.375,33.175,33.8375,,,,,,,,,,
FY18-19,2018/07/01,1091,IT Operations Support Administrator I,21,SFMTA,1091P,"2,184","2,707",,27.3,27.975,28.6625,29.3625,30.0875,30.85,31.6,32.375,33.175,33.8375,,,,,,,,,,
FY18-19,2018/07/01,1092,IT Operations Support Administrator II,21,COMMN,1092P,"2,566","3,180",,32.075,32.8625,33.6625,34.5,35.35,36.225,37.1375,38.0375,38.9875,39.75,,,,,,,,,,
FY18-19,2018/07/01,1092,IT Operations Support Administrator II,21,SFMTA,1092P,"2,566","3,180",,32.075,32.8625,33.6625,34.5,35.35,36.225,37.1375,38.0375,38.9875,39.75,,,,,,,,,,
FY18-19,2018/07/01,1232,Training Officer,21,COMMN,1232P,"3,275","3,981",,40.9375,42.975,45.125,47.3875,49.7625,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1093,IT Operations Support Administrator III,21,COMMN,1093P,"3,119","3,865",,38.9875,39.9375,40.9375,41.9375,42.975,44.0375,45.125,46.2375,47.3875,48.3125,,,,,,,,,,
FY18-19,2018/07/01,1093,IT Operations Support Administrator III,21,SFMTA,1093P,"3,119","3,865",,38.9875,39.9375,40.9375,41.9375,42.975,44.0375,45.125,46.2375,47.3875,48.3125,,,,,,,,,,
FY18-19,2018/07/01,1094,IT Operations Support Administrator IV,21,COMMN,1094P,"3,791","4,698",,47.3875,48.55,49.7625,50.975,52.25,53.525,54.8625,56.2,57.5875,58.725,,,,,,,,,,
FY18-19,2018/07/01,1094,IT Operations Support Administrator IV,21,SFMTA,1094P,"3,791","4,698",,47.3875,48.55,49.7625,50.975,52.25,53.525,54.8625,56.2,57.5875,58.725,,,,,,,,,,
FY18-19,2018/07/01,1095,IT Operations Support Administrator V,21,COMMN,1095P,"4,078","5,056",,50.975,52.25,53.525,54.8625,56.2,57.5875,58.9875,60.4875,61.95,63.2,,,,,,,,,,
FY18-19,2018/07/01,1095,IT Operations Support Administrator V,21,SFMTA,1095P,"4,078","5,056",,50.975,52.25,53.525,54.8625,56.2,57.5875,58.9875,60.4875,61.95,63.2,,,,,,,,,,
FY18-19,2018/07/01,1110,"Executive Assistant To The Executive Director, Retirement System",351,COMMN,1110P,"4,007","5,370",6,50.0875,52.6,55.225,57.975,60.8875,63.9375,67.125,,,,,,,,,,,,,
FY18-19,2018/07/01,1110,"Executive Assistant To The Executive Director, Retirement System",351,SFMTA,1110P,"4,007","5,370",6,50.0875,52.6,55.225,57.975,60.8875,63.9375,67.125,,,,,,,,,,,,,
FY18-19,2018/07/01,1117,"Deputy Director for Investments, Retirement System",351,COMMN,1117P,"11,468","13,941",,143.35,150.5375,158.0625,165.9625,174.2625,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1130,Youth Commission Advisor,22,COMMN,1130P,"2,366","2,876",,29.575,31.05,32.6125,34.2375,35.95,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1163,Executive Assistant To The Director of Health,351,COMMN,1163P,"5,027","6,111",,62.8375,65.9875,69.2875,72.7625,76.3875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1163,Executive Assistant To The Director of Health,351,SFMTA,1163P,"5,027","6,111",,62.8375,65.9875,69.2875,72.7625,76.3875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1164,"Administrator, SFGH Medical Center",351,SFMTA,1164P,"9,889","13,253",6,123.6125,129.7875,136.275,143.0875,150.25,157.775,165.6625,,,,,,,,,,,,,
FY18-19,2018/07/01,1190,Mayor,556,COMMN,1190P,"12,923","12,923",,161.5365,,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1201,Personnel Technician Trainee,790,COMMN,1201P,"2,366","2,876",,29.575,31.05,32.6125,34.2375,35.95,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1201,Personnel Technician Trainee,790,SFMTA,1201P,"2,366","2,876",,29.575,31.05,32.6125,34.2375,35.95,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1202,Personnel Clerk,790,COMMN,1202P,"2,142","2,604",,26.775,28.125,29.525,30.9875,32.55,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1202,Personnel Clerk,790,SFMTA,1202P,"2,142","2,604",,26.775,28.125,29.525,30.9875,32.55,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1203,Personnel Technician,22,COMMN,1203P,"2,598","3,158",,32.475,34.0875,35.8,37.6,39.475,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1203,Personnel Technician,22,SFMTA,1203P,"2,598","3,158",,32.475,34.0875,35.8,37.6,39.475,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1204,Senior Personnel Clerk,790,COMMN,1204P,"2,479","3,014",,30.9875,32.55,34.175,35.8875,37.675,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1204,Senior Personnel Clerk,790,SFMTA,1204P,"2,479","3,014",,30.9875,32.55,34.175,35.8875,37.675,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1209,Benefits Technician,790,COMMN,1209P,"2,265","2,754",,28.3125,29.725,31.225,32.775,34.425,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1209,Benefits Technician,790,SFMTA,1209P,"2,265","2,754",,28.3125,29.725,31.225,32.775,34.425,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1210,Benefits Analyst,790,COMMN,1210P,"2,687","3,267",,33.5875,35.275,37.0375,38.9,40.8375,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1210,Benefits Analyst,790,SFMTA,1210P,"2,687","3,267",,33.5875,35.275,37.0375,38.9,40.8375,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1218,Payroll Supervisor,790,COMMN,1218P,"3,462","4,208",,43.275,45.4375,47.7,50.0875,52.6,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1218,Payroll Supervisor,790,SFMTA,1218P,"3,462","4,208",,43.275,45.4375,47.7,50.0875,52.6,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1220,Payroll and Personnel Clerk,790,COMMN,1220P,"2,461","2,991",,30.7625,32.2875,33.9125,35.6125,37.3875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1220,Payroll and Personnel Clerk,790,SFMTA,1220P,"2,461","2,991",,30.7625,32.2875,33.9125,35.6125,37.3875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1222,Senior Payroll And Personnel Clerk,790,COMMN,1222P,"2,700","3,282",,33.75,35.4375,37.2125,39.0625,41.025,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1222,Senior Payroll And Personnel Clerk,790,SFMTA,1222P,"2,700","3,282",,33.75,35.4375,37.2125,39.0625,41.025,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1224,Principal Payroll And Personnel Clerk,790,COMMN,1224P,"2,977","3,617",,37.2125,39.0625,41.025,43.0625,45.2125,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1224,Principal Payroll And Personnel Clerk,790,SFMTA,1224P,"2,977","3,617",,37.2125,39.0625,41.025,43.0625,45.2125,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1226,Chief Payroll And Personnel Clerk,790,COMMN,1226P,"3,140","3,816",,39.25,41.2125,43.275,45.4375,47.7,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1226,Chief Payroll And Personnel Clerk,790,SFMTA,1226P,"3,140","3,816",,39.25,41.2125,43.275,45.4375,47.7,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1227,Testing Technician,790,COMMN,1227P,"2,167","2,634",,27.0875,28.4375,29.875,31.3625,32.925,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1227,Testing Technician,790,SFMTA,1227P,"2,167","2,634",,27.0875,28.4375,29.875,31.3625,32.925,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1229,Special Examiner,22,COMMN,1229P,"4,671","6,940",,58.3875,86.75,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1229,Special Examiner,22,SFMTA,1229P,"4,671","6,940",,58.3875,86.75,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1230,Instructional Designer,21,COMMN,1230P,"3,610","4,389",,45.125,47.3875,49.7625,52.25,54.8625,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1231,Equal Employment Opportunity Programs Senior Specialist,22,COMMN,1231P,"4,019","4,884",,50.2375,52.75,55.375,58.1625,61.05,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1231,Equal Employment Opportunity Programs Senior Specialist,22,SFMTA,1231P,"4,019","4,884",,50.2375,52.75,55.375,58.1625,61.05,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1232,Training Officer,21,SFMTA,1232P,"3,275","3,981",,40.9375,42.975,45.125,47.3875,49.7625,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1233,Equal Employment Opportunity Programs Specialist,22,COMMN,1233P,"3,171","3,854",,39.6375,41.6125,43.7,45.8875,48.175,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1233,Equal Employment Opportunity Programs Specialist,22,SFMTA,1233P,"3,171","3,854",,39.6375,41.6125,43.7,45.8875,48.175,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1241,Human Resources Analyst,22,COMMN,1241P,"2,683","3,948",,33.5375,35.15,36.9,38.6875,40.5875,42.625,44.775,47.0125,49.35,,,,,,,,,,,
FY18-19,2018/07/01,1241,Human Resources Analyst,22,SFMTA,1241P,"2,683","3,948",,33.5375,35.15,36.9,38.6875,40.5875,42.625,44.775,47.0125,49.35,,,,,,,,,,,
FY18-19,2018/07/01,1244,Senior Human Resources Analyst,22,COMMN,1244P,"3,791","4,607",,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1244,Senior Human Resources Analyst,22,SFMTA,1244P,"3,791","4,607",,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1246,Principal Human Resources Analyst,22,COMMN,1246P,"4,496","5,881",6,56.2,58.9875,61.95,65.05,68.3125,70.0125,71.7125,73.5125,,,,,,,,,,,,
FY18-19,2018/07/01,1246,Principal Human Resources Analyst,22,SFMTA,1246P,"4,496","5,881",6,56.2,58.9875,61.95,65.05,68.3125,70.0125,71.7125,73.5125,,,,,,,,,,,,
FY18-19,2018/07/01,1249,Human Resources Trainee,22,COMMN,1249P,"2,549","2,683",,31.8625,33.5375,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1249,Human Resources Trainee,22,SFMTA,1249P,"2,549","2,683",,31.8625,33.5375,,,,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1250,Recruiter,22,COMMN,1250P,"3,791","4,607",,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1250,Recruiter,22,SFMTA,1250P,"3,791","4,607",,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1280,Employee Relations Representative,1,COMMN,1280P,"3,275","4,607",6,40.9375,42.975,45.125,47.3875,49.7625,52.25,54.8625,57.5875,,,,,,,,,,,,
FY18-19,2018/07/01,1281,Senior Employee Relations Representative,1,COMMN,1281P,"4,198","5,908",6,52.475,55.1,57.85,60.75,63.7875,66.9875,70.325,73.85,,,,,,,,,,,,
FY18-19,2018/07/01,1310,Public Relations Assistant,790,COMMN,1310P,"2,167","2,634",,27.0875,28.4375,29.875,31.3625,32.925,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1310,Public Relations Assistant,790,SFMTA,1310P,"2,167","2,634",,27.0875,28.4375,29.875,31.3625,32.925,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1312,Public Information Officer,21,COMMN,1312P,"2,871","3,490",,35.8875,37.675,39.55,41.5375,43.625,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1312,Public Information Officer,21,SFMTA,1312P,"2,871","3,490",,35.8875,37.675,39.55,41.5375,43.625,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1314,Public Relations Officer,21,COMMN,1314P,"3,423","4,160",,42.7875,44.925,47.175,49.5125,52,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1314,Public Relations Officer,21,SFMTA,1314P,"3,423","4,160",,42.7875,44.925,47.175,49.5125,52,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1322,Customer Service Agent Trainee,790,COMMN,1322P,"2,547","3,096",,31.8375,33.4375,35.1,36.85,38.7,,,,,,,,,,,,,,,
FY18-19,2018/07/01,1324,Customer Service Agent,790,COMMN,1324P,"2,622","3,188",,32.775,34.425,36.15,37.95,39.85,,,,,,,,,,,,,,,
